x,y
23.27371406717762,32.101293973035425
29.090523922395704,10.483034904950594
32.01771588891188,95.81618876759947
24.82368394031178,67.15600623614301
38.75072294986748,38.26690400364663
68.66024014049727,57.84793905059852
32.43103939816804,75.95539797466998
46.778755533906626,19.787785065758833
3.5504084012376147,21.821972315245265
81.70829287730939,13.375457341926856
78.71495888744894,87.1882924343283
29.246440811289197,11.560861358703512
78.7742474023528,56.6995160688201
99.37936348587758,35.70939619696401
22.503807161409917,82.25431007931385
